2026-04-23 14:35:04 RECEBIDO id=522d4d25-ad85-436b-a261-9ad614515a5d model=ModeloX factory=localhost:9000 chain=Montagem | Pintura | Inspecao
2026-04-23 14:35:04 RECEBIDO id=f30f8204-6b12-409d-b3a2-d1a145cf69f0 model=ModeloX factory=localhost:9000 chain=Montagem | Pintura | Inspecao
2026-04-23 14:35:04 RECEBIDO id=ee8602c7-1082-4172-a972-e04b2c177d68 model=ModeloX factory=localhost:9000 chain=Montagem | Pintura | Inspecao
2026-04-23 14:35:04 RECEBIDO id=66462f69-de73-45a8-b9e3-700fe021569b model=ModeloX factory=localhost:9000 chain=Montagem | Pintura | Inspecao
2026-04-23 14:35:04 RECEBIDO id=db1a9351-7078-49ab-9a6e-42c848d2fffa model=ModeloX factory=localhost:9000 chain=Montagem | Pintura | Inspecao
2026-04-23 14:37:20 RECEBIDO id=643b95f3-2fd8-4ebb-bf38-9080d5c59c31 model=ModeloX factory=localhost:9000 chain=Montagem | Pintura | Inspecao
2026-04-24 14:47:00 RECEBIDO id=db3f1b6f-8ce9-49a7-8eb3-212c2265e0f2 modelo=ModeloX fabrica=localhost:9000 cadeia=Montagem | Pintura | Inspecao
2026-04-24 14:47:00 RECEBIDO id=6298db88-0333-4f60-a057-fa5667531a49 modelo=ModeloX fabrica=localhost:9000 cadeia=Montagem | Pintura | Inspecao
2026-04-24 14:47:00 RECEBIDO id=cff922b6-cdcb-474c-bc10-818d42a631fb modelo=ModeloX fabrica=localhost:9000 cadeia=Montagem | Pintura | Inspecao
2026-04-24 14:47:00 RECEBIDO id=4b8a4a9f-9864-4cd2-8965-4be167412c0c modelo=ModeloX fabrica=localhost:9000 cadeia=Montagem | Pintura | Inspecao
2026-04-24 14:47:00 RECEBIDO id=bec62bda-8600-4bd1-9cca-deedc46d1a8e modelo=ModeloX fabrica=localhost:9000 cadeia=Montagem | Pintura | Inspecao
2026-04-24 14:47:22 RECEBIDO id=2913f34e-ea06-48bf-ace7-f15f2efe5481 modelo=ModeloX fabrica=localhost:9000 cadeia=Montagem | Pintura | Inspecao
2026-04-24 15:11:34 RECEBIDO id=99b044f1-a416-4637-8713-e37220609aa4 modelo=ModeloX fabrica=localhost:9000 cadeia=Montagem | Pintura | Inspecao
